t,a,e,omega,Omega,res,M2
0.000000000000000e+00,4.635671854398799e+00,3.940047725058194e-01,0.000000000000000e+00,0.000000e+00,1.570596e+00,1.570596e+00
7.932676536799251e+03,4.635034682757762e+00,3.938575353375359e-01,2.462519468657268e-01,0.000000e+00,1.575199e+00,1.821451e+00
1.586515476162879e+04,4.634838829010153e+00,3.938127341292997e-01,4.920307769048812e-01,0.000000e+00,1.580268e+00,2.072299e+00
2.379743467463871e+04,4.634792946123178e+00,3.938029864664508e-01,7.378164436354180e-01,0.000000e+00,1.585324e+00,2.323141e+00
3.172991289961376e+04,4.634781469400697e+00,3.938015203617939e-01,9.836067275743798e-01,0.000000e+00,1.590382e+00,2.573989e+00
3.966239112458882e+04,4.634793926961410e+00,3.938058903053624e-01,1.229397513871550e+00,0.000000e+00,1.595440e+00,2.824837e+00
4.759486934956387e+04,4.634849729237208e+00,3.938206035855928e-01,1.475180743410535e+00,0.000000e+00,1.600505e+00,3.075685e+00
5.552734757453893e+04,4.635084887933373e+00,3.938771717368364e-01,1.720968607105835e+00,0.000000e+00,-4.677620e+00,-2.956652e+00
6.345982579951399e+04,4.635669652331567e+00,3.940149431269531e-01,1.967260905163372e+00,0.000000e+00,-4.673064e+00,-2.705803e+00
7.139230402405931e+04,4.635051707256928e+00,3.938748230652970e-01,2.213483468961634e+00,0.000000e+00,-4.668439e+00,-2.454955e+00
7.932498056040790e+04,4.634835698848875e+00,3.938280206164881e-01,2.459267188081396e+00,0.000000e+00,-4.663368e+00,-2.204101e+00
8.725745878480088e+04,4.634790180103966e+00,3.938210199904245e-01,2.705058672464918e+00,0.000000e+00,-4.658311e+00,-1.953252e+00
9.518993700919386e+04,4.634781651359017e+00,3.938228934719462e-01,2.950859011866320e+00,0.000000e+00,-4.653263e+00,-1.702404e+00
1.031224152335868e+05,4.634797326703428e+00,3.938306653013691e-01,-3.086525106180048e+00,0.000000e+00,1.634970e+00,-1.451556e+00
1.110548934579798e+05,4.634862509925513e+00,3.938502086250351e-01,-2.840731096403157e+00,0.000000e+00,1.640024e+00,-1.200707e+00
1.189873716823728e+05,4.635145146186860e+00,3.939204172575798e-01,-2.594919352235672e+00,0.000000e+00,1.645060e+00,-9.498589e-01
1.269198499067658e+05,4.635634995446544e+00,3.940388800444268e-01,-2.348509519274040e+00,0.000000e+00,1.649499e+00,-6.990106e-01
1.348523281311588e+05,4.635007211982940e+00,3.938991573545223e-01,-2.102379983147863e+00,0.000000e+00,1.654218e+00,-4.481623e-01
1.427848063555518e+05,4.634832690344035e+00,3.938646237285713e-01,-1.856578738997466e+00,0.000000e+00,1.659265e+00,-1.973141e-01
1.507172845799447e+05,4.634789364892988e+00,3.938607992208862e-01,-1.610768166599054e+00,0.000000e+00,1.664302e+00,5.353420e-02
1.586497628043377e+05,4.634781748332951e+00,3.938655505318648e-01,-1.364947758390719e+00,0.000000e+00,1.669330e+00,3.043824e-01
1.665822410287307e+05,4.634798503598701e+00,3.938762373512268e-01,-1.119125502254423e+00,0.000000e+00,1.674356e+00,5.552306e-01
1.745147192531237e+05,4.634867054922152e+00,3.938992166870431e-01,-8.733093991679332e-01,0.000000e+00,1.679388e+00,8.060788e-01
1.824471974775167e+05,4.635166863808879e+00,3.939760379720596e-01,-6.274691476928429e-01,0.000000e+00,1.684396e+00,1.056927e+00
1.903796757019096e+05,4.635616099147884e+00,3.940877324269899e-01,-3.810051116107091e-01,0.000000e+00,1.688780e+00,1.307775e+00
1.983121539263026e+05,4.634994585567386e+00,3.939521192149006e-01,-1.348820249520874e-01,0.000000e+00,1.693505e+00,1.558623e+00
2.062446321506956e+05,4.634829804808493e+00,3.939224718342383e-01,1.109462436324074e-01,0.000000e+00,1.698525e+00,1.809471e+00
2.141771103750886e+05,4.634788586914922e+00,3.939217502420825e-01,3.567862086363310e-01,0.000000e+00,1.703533e+00,2.060320e+00
2.221095885994816e+05,4.634781870137058e+00,3.939293122059724e-01,6.026369520609326e-01,0.000000e+00,1.708531e+00,2.311168e+00
2.300420668238745e+05,4.634799747800470e+00,3.939428450055832e-01,8.484904973127341e-01,0.000000e+00,1.713526e+00,2.562016e+00
2.379745450482675e+05,4.634871871595299e+00,3.939692194479601e-01,1.094338877009884e+00,0.000000e+00,1.718525e+00,2.812864e+00
2.459070232726605e+05,4.635189894295339e+00,3.940527930670785e-01,1.340218577715469e+00,0.000000e+00,1.723494e+00,3.063712e+00
2.538395014970535e+05,4.635594007469550e+00,3.941565708840485e-01,1.586744431097226e+00,0.000000e+00,-4.555369e+00,-2.968625e+00
2.617719797214465e+05,4.634982639956223e+00,3.940258696630479e-01,1.832872516236509e+00,0.000000e+00,-4.550649e+00,-2.717776e+00
2.697044579480586e+05,4.634827034298174e+00,3.940008742915783e-01,2.078737923704497e+00,0.000000e+00,-4.545666e+00,-2.466928e+00
2.776369361747798e+05,4.634787832225181e+00,3.940031319916951e-01,2.324617136848709e+00,0.000000e+00,-4.540697e+00,-2.216080e+00
2.855694144015011e+05,4.634782008750146e+00,3.940134031193425e-01,2.570508011135024e+00,0.000000e+00,-4.535739e+00,-1.965231e+00
2.935018926282224e+05,4.634801043826573e+00,3.940296972204849e-01,2.816402583523006e+00,0.000000e+00,-4.530786e+00,-1.714383e+00
3.014343708549437e+05,4.634876975501789e+00,3.940594333262278e-01,3.062292949043361e+00,0.000000e+00,-4.525828e+00,-1.463535e+00
3.093666507697093e+05,4.635164623900345e+00,3.941384398597367e-01,-2.974970910399116e+00,0.000000e+00,1.762278e+00,-1.212693e+00
3.172991289964306e+05,4.635618762687097e+00,3.942562215695518e-01,-2.728429452062421e+00,0.000000e+00,1.766585e+00,-9.618444e-01
3.252316072231519e+05,4.634995674870378e+00,3.941253259419046e-01,-2.482220823153482e+00,0.000000e+00,1.771225e+00,-7.109962e-01
3.331640854498732e+05,4.634829967866192e+00,3.941004653757580e-01,-2.236307644778536e+00,0.000000e+00,1.776160e+00,-4.601479e-01
3.410965636765945e+05,4.634788559984811e+00,3.941046711420698e-01,-1.990380436118651e+00,0.000000e+00,1.781081e+00,-2.092996e-01
3.490290419033158e+05,4.634781746268362e+00,3.941171659363841e-01,-1.744440023004065e+00,0.000000e+00,1.785989e+00,4.154864e-02
