time,a1,sigma,e,a2,J2,a1rate,e1rate,a2rate
1.000000e+03,4.635672e+00,1.574828e+00,3.940049e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.100000e+04,4.635672e+00,1.615087e+00,3.940179e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
2.100000e+04,4.635672e+00,1.655255e+00,3.940525e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
3.100000e+04,4.635672e+00,1.695250e+00,3.941083e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
4.100000e+04,4.635672e+00,1.734989e+00,3.941850e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
5.100000e+04,4.635672e+00,1.774396e+00,3.942819e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
6.100000e+04,4.635672e+00,1.813394e+00,3.943981e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
7.100000e+04,4.635672e+00,1.851909e+00,3.945329e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
8.100000e+04,4.635672e+00,1.889873e+00,3.946852e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
9.100000e+04,4.635672e+00,1.927222e+00,3.948539e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.010000e+05,4.635672e+00,1.963893e+00,3.950377e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.110000e+05,4.635672e+00,1.999833e+00,3.952354e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.210000e+05,4.635672e+00,2.034989e+00,3.954458e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.310000e+05,4.635672e+00,2.069315e+00,3.956675e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.410000e+05,4.635672e+00,2.102771e+00,3.958993e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.510000e+05,4.635672e+00,2.135321e+00,3.961398e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.610000e+05,4.635672e+00,2.166933e+00,3.963879e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
1.710000e+05,4.635672e+00,2.197581e+00,3.966424e-01,1.000000e+05,1.000000e-03,0.000000e+00,0.000000e+00,0.000000e+00
