t,a,e,omega,Omega,res,M2
0.000000000000000e+00,4.635671854398799e+00,3.940047725058194e-01,0.000000000000000e+00,0.000000e+00,1.570596e+00,1.570596e+00
1.586535307359850e+04,4.634841907088379e+00,3.938107413100262e-01,4.920241896155538e-01,0.000000e+00,1.580281e+00,2.072305e+00
3.173030952325758e+04,4.634802487957614e+00,3.938009686376825e-01,9.835939887577858e-01,0.000000e+00,1.590408e+00,2.574002e+00
4.759486934927741e+04,4.634873393268116e+00,3.938179629441187e-01,1.475168758888884e+00,0.000000e+00,1.600517e+00,3.075686e+00
6.345982579922752e+04,4.635690081738692e+00,3.940088490344050e-01,1.967072239198622e+00,0.000000e+00,-4.672875e+00,-2.705803e+00
7.932478224917763e+04,4.634928788624932e+00,3.938360261111936e-01,2.459245000017113e+00,0.000000e+00,-4.663352e+00,-2.204107e+00
9.518973869912775e+04,4.634850397544962e+00,3.938225731250451e-01,2.950819942261403e+00,0.000000e+00,-4.653230e+00,-1.702410e+00
1.110546951490779e+05,4.634891465467543e+00,3.938380129059176e-01,-2.840774391324033e+00,0.000000e+00,1.640061e+00,-1.200714e+00
1.269196515990280e+05,4.635357795501270e+00,3.939531674304580e-01,-2.349146802981467e+00,0.000000e+00,1.650130e+00,-6.990170e-01
1.427846080481186e+05,4.635112705647076e+00,3.939051019644924e-01,-1.856647143671326e+00,0.000000e+00,1.659327e+00,-1.973205e-01
1.586499611208158e+05,4.634905400018561e+00,3.938671669825472e-01,-1.365052308593466e+00,0.000000e+00,1.669441e+00,3.043885e-01
1.745149175696018e+05,4.634915986277415e+00,3.938809378670776e-01,-8.734212303346441e-01,0.000000e+00,1.679506e+00,8.060850e-01
1.903798740183877e+05,4.635074469133017e+00,3.939301710902283e-01,-3.817959575278227e-01,0.000000e+00,1.689577e+00,1.307781e+00
2.062448304671737e+05,4.635695161325185e+00,3.940876366206093e-01,1.105946274793231e-01,0.000000e+00,1.698883e+00,1.809478e+00
2.221097869159596e+05,4.635008992801343e+00,3.939441670138205e-01,6.024552235142044e-01,0.000000e+00,1.708719e+00,2.311174e+00
2.379747433647456e+05,4.634955669021752e+00,3.939483847333949e-01,1.094135064563030e+00,0.000000e+00,1.718736e+00,2.812871e+00
2.538396998135316e+05,4.634987151011011e+00,3.939734179000680e-01,1.585840343519155e+00,0.000000e+00,-4.554459e+00,-2.968618e+00
2.697046562623176e+05,4.635227463793330e+00,3.940479587127507e-01,2.077548500437145e+00,0.000000e+00,-4.544470e+00,-2.466922e+00
2.855696127111035e+05,4.635598147229402e+00,3.941539126671829e-01,2.570133415695821e+00,0.000000e+00,-4.535359e+00,-1.965225e+00
3.014345691598895e+05,4.635060617704419e+00,3.940511455973882e-01,3.061980403736623e+00,0.000000e+00,-4.525509e+00,-1.463529e+00
3.172995256086754e+05,4.635014523198998e+00,3.940632936543612e-01,-2.729424158929421e+00,0.000000e+00,1.767592e+00,-9.618320e-01
3.331644820574614e+05,4.635039795255000e+00,3.940931267831879e-01,-2.237612154376020e+00,0.000000e+00,1.777477e+00,-4.601355e-01
3.490294385062474e+05,4.635197512298225e+00,3.941547469018679e-01,-1.745792915590384e+00,0.000000e+00,1.787354e+00,4.156102e-02
3.648943949550333e+05,4.635930408609767e+00,3.943504925790762e-01,-1.253378791118072e+00,0.000000e+00,1.796636e+00,5.432575e-01
3.807593514038193e+05,4.635188967140460e+00,3.942067760593745e-01,-7.611105071121677e-01,0.000000e+00,1.806064e+00,1.044954e+00
3.966243078526052e+05,4.635084374305421e+00,3.942114271087487e-01,-2.692079257250796e-01,0.000000e+00,1.815858e+00,1.546650e+00
4.124892643013912e+05,4.635084255847669e+00,3.942413745829801e-01,2.227399808713278e-01,0.000000e+00,1.825607e+00,2.048347e+00
4.283542207501772e+05,4.635137611289428e+00,3.942847466139983e-01,7.147131799212093e-01,0.000000e+00,1.835330e+00,2.550043e+00
4.442191771989631e+05,4.635427272215470e+00,3.943837942338662e-01,1.206715844328100e+00,0.000000e+00,1.845024e+00,3.051740e+00
4.600841336477491e+05,4.635811988179139e+00,3.945058870779516e-01,1.699543021497005e+00,0.000000e+00,-4.429292e+00,-2.729749e+00
4.759490900965350e+05,4.635231804580793e+00,3.944062585660967e-01,2.191754975728267e+00,0.000000e+00,-4.419808e+00,-2.228053e+00
4.918140465453210e+05,4.635154033248189e+00,3.944237679089735e-01,2.683852858292101e+00,0.000000e+00,-4.410209e+00,-1.726356e+00
5.076790029941070e+05,4.635153570004867e+00,3.944602009661203e-01,-3.107185643602680e+00,0.000000e+00,1.882526e+00,-1.224660e+00
5.235439594428929e+05,4.635192366271404e+00,3.945067024634911e-01,-2.615004599550297e+00,0.000000e+00,1.892042e+00,-7.229630e-01
5.394089158961171e+05,4.635345958962367e+00,3.945807002977686e-01,-2.122799517589229e+00,0.000000e+00,1.901533e+00,-2.212665e-01
5.552738723495597e+05,4.636039789702536e+00,3.947803539503298e-01,-1.630235960135297e+00,0.000000e+00,1.910666e+00,2.804300e-01
