time,a1,sigma,e,a2,J2,a1rate,e1rate,a2rate
1.000000e+03,4.635676e+00,1.574828e+00,3.940049e-01,1.000000e+05,1.000000e-03,1.000000e-09,0.000000e+00,0.000000e+00
1.100000e+04,4.635723e+00,1.615128e+00,3.940179e-01,1.000000e+05,1.000000e-03,1.000000e-09,0.000000e+00,0.000000e+00
2.100000e+04,4.635769e+00,1.655405e+00,3.940525e-01,1.000000e+05,1.000000e-03,1.000000e-09,0.000000e+00,0.000000e+00
3.100000e+04,4.635816e+00,1.695576e+00,3.941085e-01,1.000000e+05,1.000000e-03,1.000000e-09,0.000000e+00,0.000000e+00
4.100000e+04,4.635862e+00,1.735561e+00,3.941854e-01,1.000000e+05,1.000000e-03,1.000000e-09,0.000000e+00,0.000000e+00
5.100000e+04,4.635908e+00,1.775278e+00,3.942826e-01,1.000000e+05,1.000000e-03,1.000000e-09,0.000000e+00,0.000000e+00
6.100000e+04,4.635955e+00,1.814653e+00,3.943995e-01,1.000000e+05,1.000000e-03,1.000000e-09,0.000000e+00,0.000000e+00
7.100000e+04,4.636001e+00,1.853612e+00,3.945350e-01,1.000000e+05,1.000000e-03,1.000000e-09,0.000000e+00,0.000000e+00
8.100000e+04,4.636047e+00,1.892084e+00,3.946881e-01,1.000000e+05,1.000000e-03,1.000000e-09,0.000000e+00,0.000000e+00
9.100000e+04,4.636094e+00,1.930005e+00,3.948578e-01,1.000000e+05,1.000000e-03,1.000000e-09,0.000000e+00,0.000000e+00
1.010000e+05,4.636140e+00,1.967312e+00,3.950429e-01,1.000000e+05,1.000000e-03,1.000000e-09,0.000000e+00,0.000000e+00
1.110000e+05,4.636186e+00,2.003950e+00,3.952420e-01,1.000000e+05,1.000000e-03,1.000000e-09,0.000000e+00,0.000000e+00
1.210000e+05,4.636233e+00,2.039867e+00,3.954540e-01,1.000000e+05,1.000000e-03,1.000000e-09,0.000000e+00,0.000000e+00
